id;url;descricao;data_hora_upload;tarefa_ordem_servico_execucao_id
1;https://needy-magnet.net/;under regularly;2024-08-12T05:48:50;1
2;https://plump-chin.info/;venue that;2024-08-13T04:46:18;2
3;https://baggy-second.info;readies hence refrigerate;2024-08-12T12:38:52;3
4;https://well-groomed-action.name;detract gosh convoke;2024-08-12T16:33:04;4
5;https://concrete-fishmonger.com;gesture ricochet hmph;2024-08-12T23:31:31;5
6;https://unconscious-pass.biz;to solidly;2024-08-13T04:40:18;6
7;https://dim-abbreviation.info/;regime really foolishly;2024-08-12T20:18:36;7
8;https://intrepid-boy.biz;but oof;2024-08-12T14:30:56;8
9;https://spotted-defense.org/;regal rouge copyright;2024-08-12T14:33:39;9
10;https://defenseless-spot.br;as yarn enhance;2024-08-12T07:19:07;10
